season,week,home_team,away_team,total_line,tot,h_keyrec,a_keyrec,h_def,a_def,off_trigger,def_trigger,over_play,over
2018,16,OAK,DEN,42.5,41.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,17,SEA,ARI,39.5,51.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2018,17,TB,ATL,52.0,66.0,0.0,0.0,0.6178571428571429,0.0,0,0,0,1.0
2018,17,NO,CAR,42.0,47.0,0.0,0.0,0.0,0.6546153846153846,0,0,0,1.0
2018,17,MIN,CHI,39.5,34.0,0.0,0.0,1.0217482517482517,1.3971794871794871,0,1,1,0.0
2018,17,PIT,CIN,45.5,29.0,0.0,0.0,0.806923076923077,0.7810606060606061,0,0,0,0.0
2018,17,BAL,CLE,41.0,50.0,0.0,0.0,0.0,0.8716666666666667,0,0,0,1.0
2018,17,NYG,DAL,38.5,71.0,1.0,0.0,1.24,1.18,1,1,1,1.0
2018,17,GB,DET,44.5,31.0,0.0,0.0,0.0,0.8781818181818182,0,0,0,0.0
2018,17,TEN,IND,42.5,50.0,0.0,0.0,0.6825,0.0,0,0,0,1.0
2018,17,HOU,JAX,39.5,23.0,0.0,0.0,0.0,0.9975,0,0,0,0.0
2018,17,DEN,LAC,43.5,32.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,17,BUF,MIA,39.5,59.0,0.0,0.0,0.1275,0.9938461538461538,0,0,0,1.0
2018,17,NE,NYJ,47.0,41.0,0.0,0.0,0.0,0.9933928571428572,0,0,0,0.0
2018,17,KC,OAK,54.0,38.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2018,17,WAS,PHI,43.0,24.0,0.0,0.0,0.0,0.58625,0,0,0,0.0
2018,17,LA,SF,50.5,80.0,0.0,1.0,0.9635714285714286,0.0,1,0,1,1.0
2019,1,CHI,GB,47.0,13.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,1,MIN,ATL,47.0,40.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,1,MIA,BAL,41.0,69.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,1,NYJ,BUF,41.0,33.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,1,SEA,CIN,44.0,41.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,1,ARI,DET,45.5,54.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,1,LAC,IND,44.5,54.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,1,JAX,KC,49.0,66.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,1,CAR,LA,49.5,57.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,1,DAL,NYG,44.0,52.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,1,NE,PIT,49.0,36.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,1,TB,SF,51.0,48.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,1,CLE,TEN,44.0,56.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,1,PHI,WAS,44.0,59.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,1,OAK,DEN,42.5,40.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,1,NO,HOU,52.0,58.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,2,CAR,TB,48.0,34.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,2,BAL,ARI,46.0,40.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,2,NYG,BUF,44.5,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,2,DEN,CHI,41.0,30.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,2,WAS,DAL,46.5,52.0,0.0,0.0,0.0,0.0,0,0,0,1.0
2019,2,TEN,IND,43.5,36.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,2,HOU,JAX,43.0,25.0,0.0,0.0,0.0,0.0,0,0,0,0.0
2019,2,OAK,KC,53.5,38.0,0.0,0.0,0.0,0.0,0,0,0,0.0
