market,variant,model,top,n,win,roi,corr,mae_model,mae_mkt,per
h1_spread,raw,hgb_clf,top100%,2531,50.61240616357171,-3.3573957165520354,0.016049610753439657,,,49/53
h1_spread,raw,hgb_clf,top50%,1267,50.27624309392266,-4.050554161051524,0.016049610753439657,,,50/51
h1_spread,raw,hgb_clf,top25%,633,49.447077409162716,-5.546671907538758,0.016049610753439657,,,50/48
h1_spread,raw,hgb_clf,top10%,251,50.59760956175299,-3.3252705523824115,0.016049610753439657,,,50/57
h1_spread,raw,hgb_clf,top5%,126,54.761904761904766,4.561204716646988,0.016049610753439657,,,53/-
h1_spread,raw,stack,top100%,2531,50.730936388779135,-3.0988831641043677,0.030153492499133554,9.182466952082223,8.7564453125,51/51
h1_spread,raw,stack,top50%,1268,50.86750788643533,-2.8407587879164993,0.030153492499133554,9.182466952082223,8.7564453125,50/52
h1_spread,raw,stack,top25%,634,54.73186119873817,4.544968287810723,0.030153492499133554,9.182466952082223,8.7564453125,56/54
h1_spread,raw,stack,top10%,251,53.78486055776892,2.676461519886804,0.030153492499133554,9.182466952082223,8.7564453125,55/53
h1_spread,raw,stack,top5%,125,52.0,-0.7564833933934362,0.030153492499133554,9.182466952082223,8.7564453125,47/55
h1_spread,raw,mean,top100%,2531,48.39984195969972,-7.58763992429347,0.0002924379016021613,9.14558548256554,8.7564453125,48/49
h1_spread,raw,mean,top50%,1265,50.51383399209486,-3.574466342322227,0.0002924379016021613,9.14558548256554,8.7564453125,49/52
h1_spread,raw,mean,top25%,631,49.920760697305866,-4.674954979073069,0.0002924379016021613,9.14558548256554,8.7564453125,48/52
h1_spread,raw,mean,top10%,250,50.0,-4.572413354884247,0.0002924379016021613,9.14558548256554,8.7564453125,50/50
h1_spread,raw,mean,top5%,127,50.39370078740157,-3.88654176843289,0.0002924379016021613,9.14558548256554,8.7564453125,54/45
h1_spread,anchored,ridge,top100%,2531,50.84946661398657,-2.926834568442881,0.015133772265261141,8.84027376720277,8.7564453125,51/51
h1_spread,anchored,ridge,top50%,1267,50.0394632991318,-4.549351868903345,0.015133772265261141,8.84027376720277,8.7564453125,48/52
h1_spread,anchored,ridge,top25%,635,50.07874015748032,-4.54286795371514,0.015133772265261141,8.84027376720277,8.7564453125,50/51
h1_spread,anchored,ridge,top10%,253,51.38339920948617,-2.142403247401833,0.015133772265261141,8.84027376720277,8.7564453125,50/52
h1_spread,anchored,ridge,top5%,125,60.0,14.322783940835478,0.015133772265261141,8.84027376720277,8.7564453125,56/63
h1_spread,anchored,hgb,top100%,2531,51.047016989332285,-2.528405553409074,0.0010725740221636069,9.127997258096613,8.7564453125,49/53
h1_spread,anchored,hgb,top50%,1266,49.763033175355446,-4.968810635734866,0.0010725740221636069,9.127997258096613,8.7564453125,49/51
h1_spread,anchored,hgb,top25%,636,49.21383647798742,-6.0412946889931645,0.0010725740221636069,9.127997258096613,8.7564453125,49/49
h1_spread,anchored,hgb,top10%,253,46.24505928853755,-11.63911472120072,0.0010725740221636069,9.127997258096613,8.7564453125,48/43
h1_spread,anchored,hgb,top5%,126,46.82539682539682,-10.579614072585128,0.0010725740221636069,9.127997258096613,8.7564453125,50/-
h1_spread,anchored,lgbm,top100%,2531,49.42710391149743,-5.650563272289658,-0.01269847882085874,9.059302333000792,8.7564453125,49/49
h1_spread,anchored,lgbm,top50%,1268,49.44794952681388,-5.646340512437878,-0.01269847882085874,9.059302333000792,8.7564453125,49/50
h1_spread,anchored,lgbm,top25%,634,49.8422712933754,-4.8487798085338785,-0.01269847882085874,9.059302333000792,8.7564453125,48/52
h1_spread,anchored,lgbm,top10%,253,49.40711462450593,-5.707852488324519,-0.01269847882085874,9.059302333000792,8.7564453125,49/51
h1_spread,anchored,lgbm,top5%,126,48.41269841269841,-7.577070502585934,-0.01269847882085874,9.059302333000792,8.7564453125,50/45
h1_spread,anchored,xgb,top100%,2531,50.414855788226,-3.7756578342670912,-0.012079292444878471,9.018620812371955,8.7564453125,50/51
h1_spread,anchored,xgb,top50%,1268,49.05362776025237,-6.373973381308973,-0.012079292444878471,9.018620812371955,8.7564453125,48/50
h1_spread,anchored,xgb,top25%,635,50.23622047244094,-4.110115875812112,-0.012079292444878471,9.018620812371955,8.7564453125,49/52
h1_spread,anchored,xgb,top10%,253,48.616600790513836,-7.21804353250365,-0.012079292444878471,9.018620812371955,8.7564453125,51/43
h1_spread,anchored,xgb,top5%,126,44.44444444444444,-14.969364422691402,-0.012079292444878471,9.018620812371955,8.7564453125,49/28
h1_spread,anchored,cat,top100%,2531,50.17779533781114,-4.2102151107733095,-0.009759867006477442,8.887597245681896,8.7564453125,49/51
h1_spread,anchored,cat,top50%,1267,49.644830307813734,-5.23979993206094,-0.009759867006477442,8.887597245681896,8.7564453125,49/50
h1_spread,anchored,cat,top25%,634,48.10725552050473,-8.139398241301308,-0.009759867006477442,8.887597245681896,8.7564453125,49/47
h1_spread,anchored,cat,top10%,253,44.26877470355731,-15.371702575867975,-0.009759867006477442,8.887597245681896,8.7564453125,44/45
h1_spread,anchored,cat,top5%,126,46.03174603174603,-12.002547257706446,-0.009759867006477442,8.887597245681896,8.7564453125,45/49
h1_spread,anchored,lgbm_clf,top100%,2531,51.442117740023704,-1.7682219451345904,0.017346248791485767,,,50/53
h1_spread,anchored,lgbm_clf,top50%,1266,51.50078988941548,-1.6374061562066136,0.017346248791485767,,,50/54
h1_spread,anchored,lgbm_clf,top25%,631,51.50554675118859,-1.6575608498378844,0.017346248791485767,,,49/56
h1_spread,anchored,lgbm_clf,top10%,253,48.22134387351779,-8.013111930276327,0.017346248791485767,,,48/47
h1_spread,anchored,lgbm_clf,top5%,126,46.82539682539682,-10.685819653048185,0.017346248791485767,,,47/-
h1_spread,anchored,hgb_clf,top100%,2531,50.01975503753457,-4.508519925284088,0.006705451515231206,,,49/51
h1_spread,anchored,hgb_clf,top50%,1265,49.48616600790513,-5.516059316303579,0.006705451515231206,,,49/51
h1_spread,anchored,hgb_clf,top25%,633,48.02527646129542,-8.278985362089337,0.006705451515231206,,,49/46
h1_spread,anchored,hgb_clf,top10%,254,51.96850393700787,-0.8121761100228923,0.006705451515231206,,,51/55
h1_spread,anchored,hgb_clf,top5%,126,52.38095238095239,-0.023767972852640006,0.006705451515231206,,,49/-
h1_spread,anchored,stack,top100%,2531,50.80995653891742,-2.9338896908326975,0.0005836845149493658,8.819622694998504,8.7564453125,51/51
h1_spread,anchored,stack,top50%,1263,51.62311955661124,-1.400507908462461,0.0005836845149493658,8.819622694998504,8.7564453125,50/53
h1_spread,anchored,stack,top25%,629,53.73608903020668,2.5452433948706688,0.0005836845149493658,8.819622694998504,8.7564453125,53/54
h1_spread,anchored,stack,top10%,252,51.587301587301596,-1.517035036514902,0.0005836845149493658,8.819622694998504,8.7564453125,46/54
h1_spread,anchored,stack,top5%,128,50.78125,-3.132239018214854,0.0005836845149493658,8.819622694998504,8.7564453125,38/56
h1_spread,anchored,mean,top100%,2531,50.05926511260371,-4.427591042117471,-0.0052609237917077825,8.915579427592107,8.7564453125,49/51
h1_spread,anchored,mean,top50%,1271,49.80330448465775,-4.97621788785227,-0.0052609237917077825,8.915579427592107,8.7564453125,49/50
h1_spread,anchored,mean,top25%,635,49.4488188976378,-5.598820103018965,-0.0052609237917077825,8.915579427592107,8.7564453125,48/52
h1_spread,anchored,mean,top10%,253,48.22134387351779,-7.925271025755171,-0.0052609237917077825,8.915579427592107,8.7564453125,51/42
h1_spread,anchored,mean,top5%,126,46.03174603174603,-11.984255791284737,-0.0052609237917077825,8.915579427592107,8.7564453125,47/43
h1_total,raw,ridge,top100%,2537,51.083957430035476,-2.480100840731923,0.010319931599599487,9.676471643339429,9.2248046875,50/52
h1_total,raw,ridge,top50%,1270,51.88976377952756,-0.9363612467659571,0.010319931599599487,9.676471643339429,9.2248046875,51/52
h1_total,raw,ridge,top25%,636,50.0,-4.548456951797873,0.010319931599599487,9.676471643339429,9.2248046875,47/52
h1_total,raw,ridge,top10%,253,50.19762845849802,-4.261551338988568,0.010319931599599487,9.676471643339429,9.2248046875,52/49
h1_total,raw,ridge,top5%,125,46.400000000000006,-11.506374007125265,0.010319931599599487,9.676471643339429,9.2248046875,42/48
h1_total,raw,hgb,top100%,2537,51.005124162396534,-2.6407586241718715,0.029255557192519287,9.825644165784075,9.2248046875,51/51
h1_total,raw,hgb,top50%,1263,51.543942992874115,-1.5984643586306964,0.029255557192519287,9.825644165784075,9.2248046875,52/51
