market,model,mode,cut,venue,n,win,roi,blind_roi,delta
player_assists,mlp,mkt,top5%,best,2161,52.56825543729755,-2.559088926964036,-3.558465834295016,0.9993769073309804
player_assists,mlp,abs,top100%,cons,43087,54.150903984960664,-5.677111023446873,-5.2400634803230135,-0.4370475431238594
player_assists,mlp,abs,top100%,best,43213,54.79832457825191,-3.366958089199564,-2.603864918629507,-0.7630931705700572
player_assists,mlp,abs,top25%,cons,10772,57.33382844411437,-5.191513531897709,-7.141285189633205,1.9497716577354964
player_assists,mlp,abs,top25%,best,10804,57.72861902998889,-3.3302982122268734,-5.085823611831806,1.7555253996049327
player_assists,mlp,abs,top10%,cons,4309,57.73961475980506,-5.9021024229244885,-8.328789476729733,2.426687053805245
player_assists,mlp,abs,top10%,best,4322,58.1906524757057,-4.18436224402128,-6.407948643010504,2.223586398989224
player_assists,mlp,abs,top5%,cons,2155,59.767981438515086,-2.778690425536472,-9.193768418305433,6.415077992768961
player_assists,mlp,abs,top5%,best,2161,60.24988431281814,-1.149390892318309,-7.298616268523365,6.149225376205056
player_assists,mlp,under,top100%,cons,43087,51.247476036855666,-5.2400634803230135,-5.2400634803230135,0.0
