pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,confluence,reg_edge,away_ab,home_ab,actual_margin,actual_total,win,clv_pts,roi_u
2023-W11-MIN@DEN-S,2023,11,MIN@DEN,sides_model,spread,DEN -2.5,1,-2.5,-2.5,0.11,0.0,-0.85,MIN,DEN,1,41,0.0,0.0,-1.0
2023-W11-MIN@DEN-PTF,2023,11,MIN@DEN,primetime_tight_favorite,spread,DEN -2.5,1,-2.5,-2.5,2.5,,,MIN,DEN,1,41,0.0,0.0,-1.0
2023-W11-MIN@DEN-PTU,2023,11,MIN@DEN,primetime_tight_under,total,UNDER 43,-2,43.0,43.0,43.0,,,MIN,DEN,1,41,1.0,0.0,0.9090909090909091
2023-W11-MIN@DEN-SDFH,2023,11,MIN@DEN,spread_dog_cover_fade_home,spread,DEN -2.5,1,-2.5,-2.5,7.18,,,MIN,DEN,1,41,0.0,0.0,-1.0
2023-W11-CHI@DET-S,2023,11,CHI@DET,sides_model,spread,CHI +8.75,0,-8.75,-8.0,-0.092,0.0,0.9,CHI,DET,5,57,1.0,0.75,0.9090909090909091
2023-W11-LAC@GB-S,2023,11,LAC@GB,sides_model,spread,GB +3,1,3.0,3.0,0.235,0.0,0.31,LAC,GB,3,43,1.0,0.0,0.9090909090909091
2023-W11-TEN@JAX-S,2023,11,TEN@JAX,sides_model,spread,TEN +6,0,-6.0,-6.5,-0.102,1.0,-3.01,TEN,JAX,20,48,0.0,-0.5,-1.0
2023-W11-PHI@KC-PTF,2023,11,PHI@KC,primetime_tight_favorite,spread,KC -2.5,1,-2.5,-2.5,2.5,,,PHI,KC,-4,38,0.0,0.0,-1.0
2023-W11-PHI@KC-PTU,2023,11,PHI@KC,primetime_tight_under,total,UNDER 48,-2,48.0,46.0,48.0,,,PHI,KC,-4,38,1.0,2.0,0.9090909090909091
2023-W11-PHI@KC-TTH,2023,11,PHI@KC,top_vs_top_pt_home,spread,KC -2.5,1,-2.5,-2.5,0.0,,,PHI,KC,-4,38,0.0,0.0,-1.0
2023-W11-SEA@LAR-S,2023,11,SEA@LAR,sides_model,spread,LAR +3,1,3.0,-2.0,0.066,1.0,4.92,SEA,LAR,1,33,1.0,5.0,0.9090909090909091
2023-W11-LV@MIA-S,2023,11,LV@MIA,sides_model,spread,LV +10,0,-10.0,-14.0,-0.166,0.0,6.76,LV,MIA,7,33,1.0,-4.0,0.9090909090909091
2023-W11-TB@SF-S,2023,11,TB@SF,sides_model,spread,TB +10.5,0,-10.5,-13.5,-0.066,0.0,1.96,TB,SF,13,41,0.0,-3.0,-1.0
2023-W11-TB@SF-DKO,2023,11,TB@SF,dk_giant_fav_over,total,OVER 42.5,-1,42.5,42.0,6.3,,,TB,SF,13,41,0.0,-0.5,-1.0
